"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2018 General Election","BLAIR","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","30,851","0","0"
"2018 General Election","BRADFORD","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","5,735","0","0"
"2018 General Election","BRADFORD","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","14,305","0","0"
"2018 General Election","BUCKS","Representative in Congress","1st Congressional District","Democratic","WALLACE, HENRY SCOTT ","141,577","0","0"
"2018 General Election","BUCKS","Representative in Congress","1st Congressional District","Republican","FITZPATRICK, BRIAN K ","152,461","0","0"
"2018 General Election","BUTLER","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,996","0","0"
"2018 General Election","BUTLER","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","10,231","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","20,472","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","35,533","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","774","0","0"
"2018 General Election","BUTLER","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","4,031","0","0"
"2018 General Election","BUTLER","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","4,612","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","7,098","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","9,172","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","11,481","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","21,683","0","0"
"2018 General Election","CAMERON","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","527","0","0"
"2018 General Election","CAMERON","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","1,242","0","0"
"2018 General Election","CARBON","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","8,902","0","0"
"2018 General Election","CARBON","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","13,448","0","0"
"2018 General Election","CENTRE","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","21,958","0","0"
"2018 General Election","CENTRE","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","12,657","0","0"
"2018 General Election","CENTRE","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","10,677","0","0"
"2018 General Election","CENTRE","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","15,284","0","0"
"2018 General Election","CHESTER","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","0","0","0"
"2018 General Election","CHESTER","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","0","0","0"
"2018 General Election","CHESTER","Representative in Congress","6th Congressional District","Democratic","HOULAHAN, CHRISTINA JAMPOLER ","139,804","0","0"
"2018 General Election","CHESTER","Representative in Congress","6th Congressional District","Republican","MCCAULEY, GREGORY MICHAEL SENIOR","97,054","0","0"
"2018 General Election","CLARION","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,847","0","0"
"2018 General Election","CLARION","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","9,958","0","0"
"2018 General Election","CLEARFIELD","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","7,367","0","0"
"2018 General Election","CLEARFIELD","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","19,476","0","0"
"2018 General Election","CLINTON","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","4,631","0","0"
"2018 General Election","CLINTON","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","7,732","0","0"
"2018 General Election","COLUMBIA","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","9,825","0","0"
"2018 General Election","COLUMBIA","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","12,690","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","11,850","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","18,301","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","342","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","10th Congressional District","Democratic","SCOTT, GEORGE B ","41,562","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","10th Congressional District","Republican","PERRY, SCOTT G ","46,840","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","5,164","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","10,977","0","0"
"2018 General Election","DAUPHIN","Representative in Congress","10th Congressional District","Democratic","SCOTT, GEORGE B ","58,605","0","0"
"2018 General Election","DAUPHIN","Representative in Congress","10th Congressional District","Republican","PERRY, SCOTT G ","49,767","0","0"
"2018 General Election","DELAWARE","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","154,477","0","0"
"2018 General Election","DELAWARE","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","94,817","0","0"
"2018 General Election","ELK","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,584","0","0"
"2018 General Election","ELK","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","7,712","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","60,392","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","40,470","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","940","0","0"
"2018 General Election","FAYETTE","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","17,115","0","0"
"2018 General Election","FAYETTE","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","23,182","0","0"
"2018 General Election","FOREST","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","564","0","0"
"2018 General Election","FOREST","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","1,364","0","0"
"2018 General Election","FRANKLIN","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","15,634","0","0"
"2018 General Election","FRANKLIN","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","39,116","0","0"
"2018 General Election","FULTON","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","888","0","0"
"2018 General Election","FULTON","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","4,387","0","0"
"2018 General Election","GREENE","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","4,957","0","0"
"2018 General Election","GREENE","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","7,267","0","0"
"2018 General Election","HUNTINGDON","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","4,246","0","0"
"2018 General Election","HUNTINGDON","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","11,570","0","0"
"2018 General Election","INDIANA","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","11,211","0","0"
"2018 General Election","INDIANA","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","18,053","0","0"
"2018 General Election","JEFFERSON","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,358","0","0"
"2018 General Election","JEFFERSON","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","12,214","0","0"
"2018 General Election","JUNIATA","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","1,814","0","0"
"2018 General Election","JUNIATA","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","6,623","0","0"
"2018 General Election","LACKAWANNA","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","53,467","0","0"
"2018 General Election","LACKAWANNA","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","30,361","0","0"
"2018 General Election","LANCASTER","Representative in Congress","11th Congressional District","Democratic","KING, JESSICA ","89,167","0","0"
"2018 General Election","LANCASTER","Representative in Congress","11th Congressional District","Republican","SMUCKER, LLOYD K ","113,788","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","13,553","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","18,245","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","362","0","0"
"2018 General Election","LEBANON","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","17,526","0","0"
"2018 General Election","LEBANON","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","31,414","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","70,000","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","54,354","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","4,193","0","0"
"2018 General Election","LUZERNE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","46,780","0","0"
"2018 General Election","LUZERNE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","41,856","0","0"
"2018 General Election","LUZERNE","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","6,774","0","0"
"2018 General Election","LUZERNE","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","12,065","0","0"
"2018 General Election","LYCOMING","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","12,063","0","0"
"2018 General Election","LYCOMING","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","28,866","0","0"
"2018 General Election","McKEAN","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,489","0","0"
"2018 General Election","McKEAN","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","9,064","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","17,842","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","22,799","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","521","0","0"
"2018 General Election","MIFFLIN","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","3,130","0","0"
"2018 General Election","MIFFLIN","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","10,537","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","11,420","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","8,195","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","368","0","0"
"2018 General Election","MONROE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","19,095","0","0"
"2018 General Election","MONROE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","15,776","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","1st Congressional District","Democratic","WALLACE, HENRY SCOTT ","19,168","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","1st Congressional District","Republican","FITZPATRICK, BRIAN K ","16,592","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","4th Congressional District","Democratic","DEAN CUNNANE , MADELEINE ","208,605","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","4th Congressional District","Republican","DAVID, DANIEL ","117,209","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","14,254","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","3,935","0","0"
"2018 General Election","MONTOUR","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","3,076","0","0"
"2018 General Election","MONTOUR","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","3,915","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","59,393","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","51,888","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","3,450","0","0"
"2018 General Election","NORTHUMBERLAND","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","3,855","0","0"
"2018 General Election","NORTHUMBERLAND","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","5,392","0","0"
"2018 General Election","NORTHUMBERLAND","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","5,637","0","0"
"2018 General Election","NORTHUMBERLAND","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","13,504","0","0"
"2018 General Election","PERRY","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","4,493","0","0"
"2018 General Election","PERRY","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","12,576","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","2nd Congressional District","Democratic","BOYLE, BRENDAN F ","159,600","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","2nd Congressional District","Republican","TORRES, DAVID ","42,382","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","3rd Congressional District","Democratic","EVANS, DWIGHT ","287,610","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","3rd Congressional District","Republican","LEIB, BRYAN E ","20,387","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","29,908","0","0"
"2018 General Election","PHILADELPHIA","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","7,323","0","0"
"2018 General Election","PIKE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","8,711","0","0"
"2018 General Election","PIKE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","12,030","0","0"
"2018 General Election","POTTER","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","1,418","0","0"
"2018 General Election","POTTER","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","4,809","0","0"
"2018 General Election","SCHUYLKILL","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","18,510","0","0"
"2018 General Election","SCHUYLKILL","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","29,946","0","0"
"2018 General Election","SNYDER","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","3,583","0","0"
"2018 General Election","SNYDER","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","9,696","0","0"
"2018 General Election","SOMERSET","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","6,963","0","0"
"2018 General Election","SOMERSET","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","21,572","0","0"
"2018 General Election","SULLIVAN","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","825","0","0"
"2018 General Election","SULLIVAN","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","1,878","0","0"
"2018 General Election","SUSQUEHANNA","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","4,814","0","0"
"2018 General Election","SUSQUEHANNA","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","10,983","0","0"
"2018 General Election","TIOGA","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","3,733","0","0"
"2018 General Election","TIOGA","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","10,949","0","0"
"2018 General Election","UNION","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","5,424","0","0"
"2018 General Election","UNION","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","8,952","0","0"
"2018 General Election","VENANGO","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","5,935","0","0"
"2018 General Election","VENANGO","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","12,544","0","0"
"2018 General Election","WARREN","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","4,770","0","0"
"2018 General Election","WARREN","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","9,660","0","0"
"2018 General Election","WASHINGTON","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","33,601","0","0"
"2018 General Election","WASHINGTON","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","45,313","0","0"
"2018 General Election","WAYNE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","7,550","0","0"
"2018 General Election","WAYNE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","12,540","0","0"
"2018 General Election","WESTMORELAND","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","5,463","0","0"
"2018 General Election","WESTMORELAND","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","9,981","0","0"
"2018 General Election","WESTMORELAND","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","54,378","0","0"
"2018 General Election","WESTMORELAND","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","75,624","0","0"
"2018 General Election","WYOMING","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","3,567","0","0"
"2018 General Election","WYOMING","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","6,980","0","0"
"2018 General Election","YORK","Representative in Congress","10th Congressional District","Democratic","SCOTT, GEORGE B ","41,501","0","0"
"2018 General Election","YORK","Representative in Congress","10th Congressional District","Republican","PERRY, SCOTT G ","52,758","0","0"
"2018 General Election","YORK","Representative in Congress","11th Congressional District","Democratic","KING, JESSICA ","24,709","0","0"
"2018 General Election","YORK","Representative in Congress","11th Congressional District","Republican","SMUCKER, LLOYD K ","49,920","0","0"
